Date,CEACC,CCDEF,FAXAE,FBFFD,EDDAB
1/1/2016,0,0,3,3,8
1/2/2016,1.232259773,-0.217305169,3.193780034,3.489991778,7.792552821
1/3/2016,2.540129189,0.606708842,3.18095,3.464811153,7.817440083
1/4/2016,5.520271227,1.470811981,3.330528229,2.968375221,7.409152042
1/5/2016,5.914298246,2.745059669,3.061705792,3.440980285,7.153048745
1/6/2016,4.698121771,2.761212247,3.12583517,3.413158306,7.094790074
1/7/2016,5.321533436,2.357034441,2.716191413,3.341070304,7.066582098
1/8/2016,6.218376949,2.492761737,3.070003602,3.042241157,6.822656154
1/9/2016,6.874758354,3.252415814,2.580389787,2.542901793,6.809181699
1/10/2016,6.699335121,3.661849817,2.945135977,2.418597981,7.028446933
1/11/2016,6.231823778,3.18777996,3.280662313,2.737221722,7.316303935
1/12/2016,4.958617032,2.936400569,2.798264838,2.550400032,7.395732447
1/13/2016,4.910325623,2.630212592,2.651416205,2.960595996,7.094923556
1/14/2016,5.810582313,2.551823125,2.920792975,3.397113418,7.249926848
1/15/2016,6.403126782,3.024543438,3.308202698,2.943244505,7.378193411
1/16/2016,6.71130612,3.108749459,3.134003457,3.030297647,7.091320676
1/17/2016,8.070887641,3.305662334,2.819255816,3.193376842,7.111073763
1/18/2016,8.653984026,4.11231494,2.942161583,3.212396643,7.174519722
1/19/2016,8.377964992,4.195309344,2.443072611,2.930554307,7.487430465
1/20/2016,9.104606059,3.996524137,2.060345934,2.887291719,7.494472639
1/21/2016,8.49206551,4.767450258,1.873750836,2.803139694,7.663347133
1/22/2016,7.892203584,4.289047042,2.359878411,2.674561667,7.629252248
1/23/2016,7.387304675,4.014063011,2.337797672,2.746753729,7.981690442
1/24/2016,5.601323861,3.524119757,2.462648065,2.747287215,8.387382796
1/25/2016,5.340968976,2.775939035,2.054612151,2.870623592,8.819967739
1/26/2016,3.294879662,2.567815201,2.062438512,2.485594242,8.428261714
1/27/2016,3.300510145,1.595050301,1.742851449,2.563944732,8.342721626
1/28/2016,4.17556546,1.543606437,1.28754709,2.955635211,8.601347855
1/29/2016,5.772935412,1.922247078,0.94292714,2.756286549,8.502150928
1/30/2016,6.04553462,2.805373559,0.999692645,3.159062349,8.427401767
1/31/2016,5.097957681,2.991400298,0.553079679,3.300420057,8.208698057
